#{"t_start": 1669995092.000832, "env_id": null}
r,l,t
0.322563,1001,2922.410611
0.803029,804,2928.936943
0.108715,46,2929.46282
0.120535,58,2930.047611
0.40295,928,2934.912808
0.10028,556,2937.970118
0.750073,711,2941.881396
0.136591,115,2942.757292
0.01925,336,2944.692303
0.164041,64,2945.364369
0.065417,183,2946.585176
0.195918,485,2951.579584
0.260599,1001,2956.816359
0.012697,493,2959.615597
0.037768,135,2960.609162
0.662391,1001,2965.821265
0.034743,166,2966.971227
0.047934,323,2968.894211
0.589371,566,2972.07862
0.385968,1001,2979.603639
0.737903,1001,2984.802667
0.122643,598,2988.031829
0.049997,303,2989.790152
0.89695,405,2992.129019
0.302297,475,2994.745864
0.593517,492,2997.531377
0.537041,1001,3005.166544
0.135792,530,3008.24237
0.391539,1001,3013.678575
0.357213,1001,3019.06298
0.292432,1001,3026.651708
0.327197,1001,3032.092879
0.183118,349,3034.216197
0.592381,1001,3039.641711
0.237089,1001,3045.022655
0.119141,80,3045.77306
0.270785,1001,3053.382858
0.183471,1001,3058.613122
0.058587,56,3059.20337
0.06003,1001,3064.498115
0.002928,691,3068.197306
0.187554,1001,3075.809269
0.129751,634,3079.287442
0.008297,423,3081.760367
0.846818,633,3085.18346
1.291269,928,3090.075837
0.244357,1001,3095.320187
0.03439,353,3099.678896
0.002543,349,3101.70774
0.123729,224,3103.079817
0.534785,928,3107.978954
0.226011,1001,3113.364523
0.241306,641,3116.866374
0.080482,1001,3124.452008
0.162312,122,3125.373393
0.593988,1001,3130.631978
0.873378,544,3133.673408
0.895531,1001,3139.433118
0.172232,1001,3145.462446
0.447088,255,3149.925963
0.490586,183,3151.101691
0.666529,1001,3156.460155
0.173661,697,3160.224231
0.085829,668,3163.883036
0.159211,175,3165.092381
0.609884,1001,3170.487607
0.117766,990,3178.012155
0.133969,883,3182.582396
0.437032,769,3186.740491
0.883667,270,3188.451431
0.19381,674,3192.001831
0.089033,315,3193.809524
0.097491,667,3199.644005
0.187775,281,3201.302026
0.406155,1001,3206.445783
0.409109,1001,3211.777721
0.515988,595,3215.220923
0.346462,134,3216.244751
0.030062,104,3217.083269
0.139757,318,3219.05081
0.186605,1001,3226.761177
0.44027,1001,3232.094625
0.742873,1001,3237.502896
0.101146,1001,3242.884062
0.024292,1001,3250.432765
0.009921,93,3251.2063
1.212941,1001,3256.466864
0.532644,194,3257.702602
1.236463,561,3260.81851
0.175674,750,3264.823572
1.073045,1001,3270.176996
0.004673,312,3274.34855
0.053745,154,3275.428925
0.10405,437,3277.959626
0.116361,686,3281.683551
0.309342,496,3284.496794
0.751678,234,3285.982429
0.744205,748,3289.949728
0.043754,136,3290.90656
0.057953,431,3293.359796
0.384091,788,3299.956656
0.649834,1001,3305.256523
0.265434,280,3306.948286
0.217675,115,3307.87903
0.91244,1001,3313.17333
